"Alabama","AL","USA"
"Alaska","AK","USA"
"Arizona","AZ","USA"
"Arkansas","AR","USA"
"California","CA","USA"
"Colorado","CO","USA"
"Connecticut","CT","USA"
"Delaware","DE","USA"
"District of Columbia","DC","USA"
"Florida","FL","USA"
"Georgia State","GA","USA"
"Hawaii","HI","USA"
"Idaho","ID","USA"
"Illinois","IL","USA"
"Indiana","IN","USA"
"Iowa","IA","USA"
"Kansas","KS","USA"
"Kentucky","KY","USA"
"Louisiana","LA","USA"
"Maine","ME","USA"
"Maryland","MD","USA"
"Massachusetts","MA","USA"
"Michigan","MI","USA"
"Minnesota","MN","USA"
"Mississippi","MS","USA"
"Missouri","MO","USA"
"Montana","MT","USA"
"Nebraska","NE","USA"
"Nevada","NV","USA"
"New Hampshire","NH","USA"
"New Jersey","NJ","USA"
"New Mexico","NM","USA"
"New York","NY","USA"
"North Carolina","NC","USA"
"North Dakota","ND","USA"
"Ohio","OH","USA"
"Oklahoma","OK","USA"
"Oregon","OR","USA"
"Pennsylvania","PA","USA"
"Rhode Island","RI","USA"
"South Carolina","SC","USA"
"South Dakota","SD","USA"
"Tennessee","TN","USA"
"Texas","TX","USA"
"Utah","UT","USA"
"Vermont","VT","USA"
"Virginia","VA","USA"
"Washington State","WA","USA"
"West Virginia","WV","USA"
"Wisconsin","WI","USA"
"Wyoming","WY","USA"
"American Samoa","AS","USA"
"Guam","GU","USA"
"Northern Mariana Islands","MP","USA"
"Puerto Rico","PR","USA"
"United States Virgin Islands","VI","USA"
"U.S. Minor Outlying Islands","AP","USA"
"U.S. Minor Outlying Islands","AA","USA"
"Federated States of Micronesia","FM","USA"
"Marshall Islands","MH","USA"
"Palau","PW","USA"
"Panama Canal Zone","CZ","USA"
"Commonwealth of the Philippines","PI","USA"
"Trust Territory of the Pacific Islands","TT","USA"
"Commonwealth of the Northern Mariana Islands","CM","USA"
"Alberta,Alberta","AB","Canada"
"British Columbia","BC","Canada"
"Manitoba","MB","Canada"
"New Brunswick","NB","Canada"
"Newfoundland and Labrador","NL","Canada"
"Nova Scotia","NS","Canada"
"Northwest Territories","NT","Canada"
"Nunavut","NU","Canada"
"Ontario","ON","Canada"
"Prince Edward Island","PE","Canada"
"Quebec","QC","Canada"
"Saskatchewan","SK","Canada"
"Yukon","YT","Canada"
"Australian Capital Territory","ACT","Australia"
"Jervis Bay Territory","JBT","Australia"
"New South Wales","NSW","Australia"
"Northen Territory","NT","Australia"
"Queensland","QLD","Australia"
"South Australia","SA","Australia"
"Tasmania","TAS","Australia"
"Victoria","VIC","Australia"
"Western Australia","WA","Australia"
